Ranked lowest to highest. 1000 hands
638: 40 7J776 974 subtotal = 101684227
639: 40 69T66 862 subtotal = 102235045
640: 40 Q4424 530 subtotal = 102574245
641: 40 A4464 842 subtotal = 103113967
642: 40 52A55 162 subtotal = 103217971
643: 40 33398 922 subtotal = 103810817
644: 40 TJ9TT 507 subtotal = 104137325
645: 40 888Q2 812 subtotal = 104661065
646: 40 QJQQA 535 subtotal = 105006675
647: 40 KK8K4 185 subtotal = 105126370
648: 40 T7767 84 subtotal = 105180802
649: 40 QQ9JQ 247 subtotal = 105341105
650: 40 7J774 629 subtotal = 105749955
651: 40 A2QAA 50 subtotal = 105782505
652: 40 J888A 929 subtotal = 106388213
653: 40 62444 771 subtotal = 106891676
654: 40 57QQQ 541 subtotal = 107245490
655: 40 9899K 259 subtotal = 107415135
656: 40 885Q8 188 subtotal = 107538463
657: 40 772Q7 285 subtotal = 107725708
658: 40 Q3999 755 subtotal = 108222498
659: 40 7J7Q7 728 subtotal = 108702250
660: 40 4446K 309 subtotal = 108906190
661: 40 2J228 538 subtotal = 109261808
662: 40 QQQ6J 203 subtotal = 109396194
663: 40 676J6 21 subtotal = 109410117
664: 40 J6866 872 subtotal = 109989125
665: 40 747Q7 796 subtotal = 110518465
666: 40 8AAAK 768 subtotal = 111029953
667: 40 Q7JQQ 936 subtotal = 111654265
668: 40 Q5QQJ 703 subtotal = 112123869
669: 40 7A555 984 subtotal = 112782165
670: 40 A9959 277 subtotal = 112967755
671: 40 444JK 545 subtotal = 113333450
672: 40 36656 442 subtotal = 113630474
673: 40 54255 785 subtotal = 114158779
674: 40 3QQJQ 429 subtotal = 114447925
675: 40 65Q55 158 subtotal = 114554575
676: 40 KTTT3 484 subtotal = 114881759
677: 40 AAA93 305 subtotal = 115088244
678: 40 TTKTJ 450 subtotal = 115393344
679: 40 49244 914 subtotal = 116013950
680: 40 3QQ2Q 83 subtotal = 116070390
681: 40 38788 958 subtotal = 116722788
682: 40 35334 376 subtotal = 116979220
683: 40 74424 303 subtotal = 117186169
684: 40 44A84 351 subtotal = 117426253
685: 40 778J7 515 subtotal = 117779028
686: 40 3933J 961 subtotal = 118438274
687: 40 KAKK3 315 subtotal = 118654679
688: 40 Q3933 336 subtotal = 118885847
689: 40 5QAQQ 425 subtotal = 119178672
690: 40 87333 182 subtotal = 119304252
691: 40 555J3 388 subtotal = 119572360
692: 40 28788 151 subtotal = 119676852
693: 40 95535 324 subtotal = 119901384
694: 40 7K977 806 subtotal = 120460748
695: 40 53565 912 subtotal = 121094588
696: 40 TTT5A 78 subtotal = 121148876
697: 40 3QQQ5 830 subtotal = 121727386
698: 40 K6KJK 350 subtotal = 121971686
699: 40 4494K 944 subtotal = 122631542
700: 40 KKQJK 219 subtotal = 122784842
701: 40 KKJK8 161 subtotal = 122897703
702: 40 T2242 960 subtotal = 123571623
703: 40 666KA 714 subtotal = 124073565
704: 40 Q22J2 258 subtotal = 124255197
705: 40 8848Q 637 subtotal = 124704282
706: 40 KAQKK 496 subtotal = 125054458
707: 40 44438 198 subtotal = 125194444
708: 40 ATKAA 945 subtotal = 125863504
709: 40 88528 260 subtotal = 126047844
710: 40 AAJ8A 170 subtotal = 126168544
711: 40 JJQAJ 319 subtotal = 126395353
712: 40 366K6 754 subtotal = 126932201
713: 40 9K99J 778 subtotal = 127486915
714: 40 22A26 355 subtotal = 127740385
715: 40 3TTT6 587 subtotal = 128160090
716: 40 84889 704 subtotal = 128664154
717: 40 AAQA4 521 subtotal = 129037711
718: 40 333TQ 181 subtotal = 129167669
719: 40 3K933 337 subtotal = 129409972
720: 40 KK9KJ 831 subtotal = 130008292
721: 40 66J56 906 subtotal = 130661518
722: 40 A4TAA 308 subtotal = 130883894
723: 40 23422 643 subtotal = 131348783
724: 40 54T44 986 subtotal = 132062647
725: 40 T8885 444 subtotal = 132384547
726: 40 26272 588 subtotal = 132811435
727: 40 5AKAA 234 subtotal = 132981553
728: 40 TTTA3 481 subtotal = 133331721
729: 40 95585 201 subtotal = 133478250
730: 40 55Q5A 955 subtotal = 134175400
731: 40 8QQQ4 205 subtotal = 134325255
732: 40 44Q54 989 subtotal = 135049203
733: 40 9J799 653 subtotal = 135527852
734: 40 77J73 900 subtotal = 136188452
735: 40 AAJ5A 354 subtotal = 136448642
736: 40 9998Q 646 subtotal = 136924098
737: 40 5595J 477 subtotal = 137275647
738: 40 9A9J9 879 subtotal = 137924349
739: 40 TJ222 743 subtotal = 138473426
740: 40 QKJQQ 124 subtotal = 138565186
741: 40 99J9T 710 subtotal = 139091296
742: 40 QAQ6Q 724 subtotal = 139628504
743: 40 8T898 433 subtotal = 139950223
744: 40 J2777 797 subtotal = 140543191
745: 40 68222 589 subtotal = 140981996
746: 40 K3AAA 572 subtotal = 141408708
747: 40 Q6J66 422 subtotal = 141723942
748: 40 66526 246 subtotal = 141907950
749: 40 95565 843 subtotal = 142539357
750: 40 2J232 788 subtotal = 143130357
751: 40 554J5 463 subtotal = 143478070
752: 40 4744Q 621 subtotal = 143945062
753: 40 99962 882 subtotal = 144609208
754: 40 43393 338 subtotal = 144864060
755: 40 T2TJT 358 subtotal = 145134350
756: 40 7TTT4 559 subtotal = 145556954
757: 40 7A774 864 subtotal = 146211002
758: 40 TT94T 103 subtotal = 146289076
759: 40 JK7KK 377 subtotal = 146575219
760: 40 74577 90 subtotal = 146643619
761: 40 555K6 89 subtotal = 146711348
762: 40 66Q26 776 subtotal = 147302660
763: 40 52J22 432 subtotal = 147632276
764: 40 99957 168 subtotal = 147760628
765: 40 882K8 278 subtotal = 147973298
766: 40 777T5 835 subtotal = 148612908
767: 40 3233J 301 subtotal = 148843775
768: 40 26J22 191 subtotal = 148990463
769: 40 J3336 76 subtotal = 149048907
770: 40 AAA75 155 subtotal = 149168257
771: 40 999K5 38 subtotal = 149197555
772: 40 A45AA 657 subtotal = 149704759
773: 40 KKATK 468 subtotal = 150066523
774: 40 JA9AA 93 subtotal = 150138505
775: 40 A6777 23 subtotal = 150156330
776: 40 88853 741 subtotal = 150731346
777: 40 4J445 615 subtotal = 151209201
778: 40 J6AAA 707 subtotal = 151759247
779: 40 6KQQQ 30 subtotal = 151782617
780: 40 778Q7 318 subtotal = 152030657
781: 40 JKTKK 875 subtotal = 152714032
782: 40 85J55 823 subtotal = 153357618
783: 40 A3AJA 119 subtotal = 153450795
784: 40 J5333 786 subtotal = 154067019
785: 40 24226 576 subtotal = 154519179
786: 40 K2622 427 subtotal = 154854801
787: 40 5KKJK 402 subtotal = 155171175
788: 40 73AAA 44 subtotal = 155205847
789: 40 TKK3K 810 subtotal = 155844937
790: 40 6JTTT 107 subtotal = 155929467
791: 40 J2555 698 subtotal = 156481585
792: 40 94QQQ 43 subtotal = 156515641
793: 40 KJ777 995 subtotal = 157304676
794: 40 65A66 964 subtotal = 158070092
795: 40 22237 901 subtotal = 158786387
796: 40 55529 184 subtotal = 158932851
797: 40 K8A88 142 subtotal = 159046025
798: 40 6J626 941 subtotal = 159796943
799: 40 877A7 582 subtotal = 160261961
800: 40 97277 193 subtotal = 160416361
801: 40 96T99 361 subtotal = 160705522
802: 40 2AT22 968 subtotal = 161481858
803: 40 88789 928 subtotal = 162227042
804: 50 TT999 460 subtotal = 162596882
805: 50 T33T3 440 subtotal = 162951082
806: 50 75775 195 subtotal = 163108252
807: 50 98899 809 subtotal = 163761115
808: 50 7A7A7 523 subtotal = 164183699
809: 50 9A9A9 744 subtotal = 164785595
810: 50 T66TT 583 subtotal = 165257825
811: 50 79977 59 subtotal = 165305674
812: 50 JJJ77 174 subtotal = 165446962
813: 50 85858 250 subtotal = 165650212
814: 50 A444A 689 subtotal = 166211058
815: 50 TT77T 372 subtotal = 166514238
816: 50 6J6J6 451 subtotal = 166882254
817: 50 26226 120 subtotal = 166980294
818: 50 66Q6Q 898 subtotal = 167714858
819: 50 JJAAA 623 subtotal = 168225095
820: 50 63363 970 subtotal = 169020495
821: 50 55775 613 subtotal = 169523768
822: 50 44333 630 subtotal = 170041628
823: 50 53353 196 subtotal = 170202936
824: 50 48488 279 subtotal = 170432832
825: 50 KKAAA 600 subtotal = 170927832
826: 50 95559 645 subtotal = 171460602
827: 50 4KKK4 109 subtotal = 171550745
828: 50 84484 286 subtotal = 171787553
829: 50 77333 996 subtotal = 172613237
830: 50 J555J 256 subtotal = 172825717
831: 50 A22A2 298 subtotal = 173073355
832: 50 66644 332 subtotal = 173349579
833: 50 33K3K 114 subtotal = 173444541
834: 50 999JJ 329 subtotal = 173718927
835: 50 88822 395 subtotal = 174048752
836: 50 83383 892 subtotal = 174794464
837: 50 QAAAQ 357 subtotal = 175093273
838: 50 AAA22 566 subtotal = 175567581
839: 50 3AA3A 701 subtotal = 176155720
840: 50 4QQQ4 217 subtotal = 176338000
841: 50 QJJJQ 299 subtotal = 176589459
842: 50 66KK6 173 subtotal = 176735125
843: 50 66996 890 subtotal = 177485395
844: 50 TATTA 683 subtotal = 178061847
845: 50 J55JJ 531 subtotal = 178510542
846: 50 93933 801 subtotal = 179188188
847: 50 83388 537 subtotal = 179643027
848: 50 Q22QQ 675 subtotal = 180215427
849: 50 7Q77Q 176 subtotal = 180364851
850: 50 29292 570 subtotal = 180849351
851: 50 4J4J4 235 subtotal = 181049336
852: 50 QQ55Q 947 subtotal = 181856180
853: 50 TQTQQ 156 subtotal = 181989248
854: 50 TJTJT 594 subtotal = 182496524
855: 50 666TT 383 subtotal = 182823989
856: 50 KQQQK 281 subtotal = 183064525
857: 50 44455 725 subtotal = 183685850
858: 50 JQQJQ 284 subtotal = 183929522
859: 50 KKK55 85 subtotal = 184002537
860: 50 QQ88Q 421 subtotal = 184364597
861: 50 A55AA 163 subtotal = 184504940
862: 50 TT44T 661 subtotal = 185074722
863: 50 JTJTJ 722 subtotal = 185697808
864: 50 79979 859 subtotal = 186439984
865: 50 ATATA 978 subtotal = 187285954
866: 50 22442 625 subtotal = 187827204
867: 50 55858 867 subtotal = 188578893
868: 50 T888T 686 subtotal = 189174341
869: 50 K222K 304 subtotal = 189438517
870: 50 QQAQA 811 subtotal = 190144087
871: 50 5TT5T 759 subtotal = 190805176
872: 50 52525 790 subtotal = 191494056
873: 50 AA77A 127 subtotal = 191604927
874: 50 44433 310 subtotal = 191875867
875: 50 8K8K8 976 subtotal = 192729867
876: 50 KJKKJ 850 subtotal = 193474467
877: 50 999KK 954 subtotal = 194311125
878: 50 TT444 669 subtotal = 194898507
879: 50 66226 113 subtotal = 194997834
880: 50 25225 382 subtotal = 195333994
881: 50 QQQ33 519 subtotal = 195791233
882: 50 66336 734 subtotal = 196438621
883: 50 45554 115 subtotal = 196540166
884: 50 3A3A3 73 subtotal = 196604698
885: 50 87788 222 subtotal = 196801168
886: 50 8TTT8 904 subtotal = 197602112
887: 50 T77T7 462 subtotal = 198011906
888: 50 77878 834 subtotal = 198752498
889: 50 T99TT 426 subtotal = 199131212
890: 50 59599 934 subtotal = 199962472
891: 50 77272 482 subtotal = 200391934
892: 50 7QQQ7 845 subtotal = 201145674
893: 50 44747 737 subtotal = 201803815
894: 50 Q999Q 475 subtotal = 202228465
895: 50 3QQ33 399 subtotal = 202585570
896: 50 JJ888 763 subtotal = 203269218
897: 50 77447 359 subtotal = 203591241
898: 50 99922 352 subtotal = 203907337
899: 50 76667 534 subtotal = 204387403
900: 50 33J3J 11 subtotal = 204397303
901: 50 K555K 762 subtotal = 205083865
902: 50 44999 804 subtotal = 205809073
903: 60 TTTT9 45 subtotal = 205849708
904: 60 QJQQQ 677 subtotal = 206461716
905: 60 AAAA7 747 subtotal = 207137751
906: 60 K8888 317 subtotal = 207424953
907: 60 22223 844 subtotal = 208190461
908: 60 7J777 397 subtotal = 208550937
909: 60 94444 459 subtotal = 208968168
910: 60 77776 129 subtotal = 209085558
911: 60 KKK4K 77 subtotal = 209155705
912: 60 44T44 868 subtotal = 209947321
913: 60 Q6666 699 subtotal = 210585508
914: 60 KKKK8 263 subtotal = 210825890
915: 60 3Q333 37 subtotal = 210859745
916: 60 7777T 312 subtotal = 211145537
917: 60 55535 800 subtotal = 211879137
918: 60 7QQQQ 97 subtotal = 211968183
919: 60 88J88 528 subtotal = 212453415
920: 60 5A555 32 subtotal = 212482855
921: 60 33337 70 subtotal = 212547325
922: 60 66636 833 subtotal = 213315351
923: 60 555J5 509 subtotal = 213785158
924: 60 62222 64 subtotal = 213844294
925: 60 KKKKT 108 subtotal = 213944194
926: 60 88868 485 subtotal = 214393304
927: 60 AQQQQ 510 subtotal = 214866074
928: 60 3333T 213 subtotal = 215063738
929: 60 79999 42 subtotal = 215102756
930: 60 72222 160 subtotal = 215251556
931: 60 TT5TT 935 subtotal = 216122041
932: 60 55455 320 subtotal = 216420281
933: 60 ATTTT 750 subtotal = 217120031
934: 60 33339 807 subtotal = 217873769
935: 60 5555T 836 subtotal = 218655429
936: 60 88838 401 subtotal = 219030765
937: 60 44442 389 subtotal = 219395258
938: 60 KQKKK 894 subtotal = 220233830
939: 60 34333 880 subtotal = 221060150
940: 60 99J99 248 subtotal = 221293270
941: 60 444Q4 211 subtotal = 221491821
942: 60 56555 177 subtotal = 221658555
943: 60 6A666 323 subtotal = 221963144
944: 60 3J333 117 subtotal = 222073592
945: 60 AA3AA 206 subtotal = 222268262
946: 60 TTJTT 950 subtotal = 223166962
947: 60 QQQ9Q 455 subtotal = 223597847
948: 60 99699 197 subtotal = 223784603
949: 60 48888 827 subtotal = 224569426
950: 60 88788 379 subtotal = 224929476
951: 60 A8888 75 subtotal = 225000801
952: 60 Q5QQQ 65 subtotal = 225062681
953: 60 T4TTT 378 subtotal = 225422915
954: 60 A8AAA 99 subtotal = 225517361
955: 60 TTTT2 525 subtotal = 226018736
956: 60 77A77 29 subtotal = 226046460
957: 60 Q5555 878 subtotal = 226886706
958: 60 66K66 916 subtotal = 227764234
959: 60 66656 417 subtotal = 228164137
960: 60 55855 470 subtotal = 228615337
961: 60 2222J 967 subtotal = 229544624
962: 60 QQQQ6 963 subtotal = 230471030
963: 60 KKK3K 437 subtotal = 230891861
964: 60 68666 62 subtotal = 230951629
965: 60 33353 98 subtotal = 231046199
966: 60 QQQQ3 335 subtotal = 231369809
967: 60 55557 568 subtotal = 231919065
968: 60 44448 221 subtotal = 232132993
969: 60 7777K 476 subtotal = 232594237
970: 60 T6666 348 subtotal = 232931797
971: 60 22522 490 subtotal = 233407587
972: 60 4J444 140 subtotal = 233543667
973: 60 33233 368 subtotal = 233901731
974: 60 77Q77 513 subtotal = 234401393
975: 60 TTTT8 405 subtotal = 234796268
976: 60 66266 297 subtotal = 235086140
977: 60 27777 791 subtotal = 235858947
978: 60 TTT6T 751 subtotal = 236593425
979: 60 2A222 449 subtotal = 237032996
980: 60 AA4AA 313 subtotal = 237339736
981: 60 39999 245 subtotal = 237580081
982: 60 T8888 439 subtotal = 238011179
983: 60 QQQKQ 398 subtotal = 238402413
984: 60 88288 605 subtotal = 238997733
985: 60 JJJJ8 226 subtotal = 239220343
986: 60 TQTTT 702 subtotal = 239912515
987: 60 AAAAT 105 subtotal = 240016150
988: 60 JKKKK 670 subtotal = 240678110
989: 60 66669 189 subtotal = 240865031
990: 60 44464 407 subtotal = 241267961
991: 60 33383 899 subtotal = 242158870
992: 60 AAAJA 166 subtotal = 242323542
993: 60 44544 505 subtotal = 242825007
994: 60 AA5AA 0 subtotal = 242825007
995: 60 77477 487 subtotal = 243309572
996: 60 74444 543 subtotal = 243850400
997: 60 99992 765 subtotal = 244613105
998: 60 6J666 550 subtotal = 245162005
999: 60 77797 592 subtotal = 245753413
1000: 70 JJJJJ 0 subtotal = 245753413

So the total winnings in sample.txt are 6440.
 (765 * 1 + 220 * 2 + 28 * 3 + 684 * 4 + 483 * 5)

Total winnings are 245753413.
